=== allPhonemes_Voiced: train (228, 22, 7500), test (152, 22, 7500)
  seed 0 epoch  10/500: train acc 0.057, test acc 0.039, train loss 0.1274, test loss 0.1190
  seed 0 epoch  20/500: train acc 0.026, test acc 0.059, train loss 0.1253, test loss 0.1175
  seed 0 epoch  30/500: train acc 0.079, test acc 0.079, train loss 0.1223, test loss 0.1141
  seed 0 epoch  40/500: train acc 0.114, test acc 0.112, train loss 0.1089, test loss 0.1027
  seed 0 epoch  50/500: train acc 0.158, test acc 0.237, train loss 0.0991, test loss 0.0917
  seed 0 epoch  60/500: train acc 0.224, test acc 0.270, train loss 0.0880, test loss 0.0851
  seed 0 epoch  70/500: train acc 0.325, test acc 0.362, train loss 0.0799, test loss 0.0732
  seed 0 epoch  80/500: train acc 0.425, test acc 0.428, train loss 0.0679, test loss 0.0656
  seed 0 epoch  90/500: train acc 0.469, test acc 0.480, train loss 0.0570, test loss 0.0590
  seed 0 epoch 100/500: train acc 0.504, test acc 0.474, train loss 0.0583, test loss 0.0569
  seed 0 epoch 110/500: train acc 0.583, test acc 0.474, train loss 0.0445, test loss 0.0562
  seed 0 epoch 120/500: train acc 0.684, test acc 0.546, train loss 0.0409, test loss 0.0489
  seed 0 epoch 130/500: train acc 0.684, test acc 0.434, train loss 0.0370, test loss 0.0562
  seed 0 epoch 140/500: train acc 0.776, test acc 0.533, train loss 0.0331, test loss 0.0472
  seed 0 epoch 150/500: train acc 0.803, test acc 0.553, train loss 0.0277, test loss 0.0450
  seed 0 epoch 160/500: train acc 0.838, test acc 0.526, train loss 0.0242, test loss 0.0443
  seed 0 epoch 170/500: train acc 0.864, test acc 0.572, train loss 0.0224, test loss 0.0429
  seed 0 epoch 180/500: train acc 0.908, test acc 0.533, train loss 0.0180, test loss 0.0455
  seed 0 epoch 190/500: train acc 0.961, test acc 0.553, train loss 0.0152, test loss 0.0417
  seed 0 epoch 200/500: train acc 0.904, test acc 0.559, train loss 0.0184, test loss 0.0439
  seed 0 epoch 210/500: train acc 0.965, test acc 0.559, train loss 0.0122, test loss 0.0421
  seed 0 epoch 220/500: train acc 0.956, test acc 0.579, train loss 0.0109, test loss 0.0417
